Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'MULTICHIP_PREFILL'.
Using operations until 'MULTICHIP_PREFILL_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                   Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  657    4.0 %         TransposeDeviceOperation                        1       156 μs                  110                                                       BF16 => BF16
 1178    0.3 %         SliceDeviceOperation                            0         1 μs         12 μs      8                                                       BFP8 => BFP8
 1181    0.3 %         UpdateKVCacheOperation                          1         2 μs          8 μs      2                                                 BFP8, BFP8 => BFP8
 1190    0.4 %         SliceDeviceOperation                            0         1 μs         14 μs      8                                                       BFP8 => BFP8
 1191    0.4 %         SliceDeviceOperation                            3         1 μs         15 μs      8                                                       BFP8 => BFP8
 1197    0.3 %         UpdateKVCacheOperation                          1         2 μs          8 μs      2                                                 BFP8, BFP8 => BFP8
 1203    0.3 %         SliceDeviceOperation                            3         1 μs         12 μs      8                                                       BFP8 => BFP8
 1210    0.3 %         SliceDeviceOperation                            0         1 μs         12 μs      8                                                       BFP8 => BFP8
 1211    0.3 %         UpdateKVCacheOperation                          3         2 μs         10 μs      2                                                 BFP8, BFP8 => BFP8
 1220    1.6 %         SDPAOperation                                   2        26 μs         36 μs     64                                                 BF16, BF16 => BF16
 1228    1.5 %         TransposeDeviceOperation                        2        25 μs         33 μs    110                                                       BF16 => BF16
 1233    1.8 %   SLOW  MatmulDeviceOperation 576 x 1024 x 5120         1        49 μs         22 μs     90  196 GB/s  38.3 %  122.1 TFLOPs   24.5 %  LoFi BF16 x BFP4 => BF16
 1235    4.9 %         ReduceScatterDeviceOperation                    0       124 μs         70 μs     18                                                       BF16 => BF16

These ops have a >6 μs gap since the previous operation. Running with tracing could save 736 μs (18.8% of overall time)
Alternatively ensure device is not waiting for the host. Experts can try moving runtime args in the kernels to compile-time args.

Matmul Optimization
-------------------
  663    1.5 %   SLOW  MatmulDeviceOperation 576 x 5120 x 1536         3        58 μs          1 μs     72  199 GB/s  38.8 %  155.2 TFLOPs   39.0 %  LoFi BF16 x BFP4 => BF16
- If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED)
- in0_block_w=8 and output subblock 2x2 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 1233    1.8 %   SLOW  MatmulDeviceOperation 576 x 1024 x 5120         1        49 μs         22 μs     90  196 GB/s  38.3 %  122.1 TFLOPs   24.5 %  LoFi BF16 x BFP4 => BF16
- If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED)
- in0_block_w=8 and output subblock 2x2 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 1252   10.4 %   SLOW  MatmulDeviceOperation 576 x 5120 x 16384        2       405 μs          1 μs     99  165 GB/s  32.2 %  238.5 TFLOPs   43.6 %  LoFi BF16 x BFP4 => BF16
- If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED)
- in0_block_w=2 and output subblock 2x1 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy

 1267    5.6 %   SLOW  MatmulDeviceOperation 576 x 8192 x 5120         3       218 μs          0 μs     90  167 GB/s  32.6 %  221.8 TFLOPs   44.6 %  LoFi BF16 x BFP4 => BF16
- If possible place input 0 in L1 (currently in DEV_0_DRAM_INTERLEAVED)
- in0_block_w=4 and output subblock 2x2 look good 🤷
- Use HiFi2 or HiFi4 with BF16 activations for improved accuracy
