# #43562/3 raw-mm1 per-core check  (Q=0, pos8190, iter1)
# QK matmul output mm1 should be 0 (Q forced to 0). Tap = SDPA_MM1DIRECT_TAP -> mla_iter_dump
# tile 48, read back per flash_mla core. classification per core's 8x32 mm1 tile:
#   ZERO    = all elements exactly 0
#   UNIFORM = single constant across the whole tile (a per-row constant -> cancels in softmax)
#   NONUNIF = genuinely varying values (the real partial-mask signal)
# configs: MOVB2D = coherent mask-path DEST write (real fix); NOP100 = 100 NOPs, no DEST write

SUMMARY over 512 cores:
  MOVB2D : ZERO=448  UNIFORM=0  NONUNIF=64   max|mm1|=51.0000
       (5, 9, 9) |          0.0000     ZERO |          0.9766  UNIFORM
      (5, 10, 0) |          0.0000     ZERO |          0.9766  UNIFORM
      (5, 10, 1) |          0.0000     ZERO |          0.9766  UNIFORM
      (5, 10, 2) |          0.0000     ZERO |          0.9766  UNIFORM
      (5, 10, 4) |          0.0000     ZERO |          0.9766  UNIFORM
      (5, 10, 5) |          0.0000     ZERO |          0.9766  UNIFORM
      (5, 10, 6) |          0.0000     ZERO |          0.9766  UNIFORM
      (5, 10, 7) |          0.0000     ZERO |          0.9766  UNIFORM
      (5, 10, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 0, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 0, 1) |         13.2500  NONUNIF |          0.9766  NONUNIF
       (6, 0, 2) |         11.8125  NONUNIF |          0.9766  NONUNIF
       (6, 0, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 0, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 0, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 0, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 0, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 1, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 1, 1) |         41.5000  NONUNIF |          0.9766  NONUNIF
       (6, 1, 2) |          8.0000  NONUNIF |          0.9766  NONUNIF
       (6, 1, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 1, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 1, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 1, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 1, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 2, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 2, 1) |         41.7500  NONUNIF |          0.9766  NONUNIF
       (6, 2, 2) |         35.0000  NONUNIF |          0.9766  NONUNIF
       (6, 2, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 2, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 2, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 2, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 2, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 3, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 3, 1) |         35.5000  NONUNIF |          0.9766  NONUNIF
       (6, 3, 2) |         10.2500  NONUNIF |          0.9766  NONUNIF
       (6, 3, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 3, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 3, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 3, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 3, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 7, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 7, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 7, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 7, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 7, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 7, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 7, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 7, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 8, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 8, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 8, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 8, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 8, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 8, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 8, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 8, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 9, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 9, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 9, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 9, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 9, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 9, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 9, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (6, 9, 9) |          0.0000     ZERO |          0.9766  UNIFORM
      (6, 10, 0) |          0.0000     ZERO |          0.9766  UNIFORM
      (6, 10, 1) |          0.0000     ZERO |          0.9766  UNIFORM
      (6, 10, 2) |          0.0000     ZERO |          0.9766  UNIFORM
      (6, 10, 4) |          0.0000     ZERO |          0.9766  UNIFORM
      (6, 10, 5) |          0.0000     ZERO |          0.9766  UNIFORM
      (6, 10, 6) |          0.0000     ZERO |          0.9766  UNIFORM
      (6, 10, 7) |          0.0000     ZERO |          0.9766  UNIFORM
      (6, 10, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 0, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 0, 1) |         33.0000  NONUNIF |          0.9531  NONUNIF
       (7, 0, 2) |         12.5625  NONUNIF |          0.9766  NONUNIF
       (7, 0, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 0, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 0, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 0, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 0, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 1, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 1, 1) |         34.2500  NONUNIF |          0.9766  NONUNIF
       (7, 1, 2) |         36.5000  NONUNIF |          0.9766  NONUNIF
       (7, 1, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 1, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 1, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 1, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 1, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 2, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 2, 1) |          9.7500  NONUNIF |          0.9766  NONUNIF
       (7, 2, 2) |         48.5000  NONUNIF |          0.9766  NONUNIF
       (7, 2, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 2, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 2, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 2, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 2, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 3, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 3, 1) |          6.8750  NONUNIF |          0.9766  NONUNIF
       (7, 3, 2) |         39.7500  NONUNIF |          0.9766  NONUNIF
       (7, 3, 3) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 3, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 3, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 3, 8) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 3, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 7, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 7, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 7, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 7, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 7, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 7, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 7, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 7, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 8, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 8, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 8, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 8, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 8, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 8, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 8, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 8, 9) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 9, 0) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 9, 1) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 9, 2) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 9, 4) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 9, 5) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 9, 6) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 9, 7) |          0.0000     ZERO |          0.9766  UNIFORM
       (7, 9, 9) |          0.0000     ZERO |          0.9766  UNIFORM
      (7, 10, 0) |          0.0000     ZERO |          0.9766  UNIFORM
      (7, 10, 1) |          0.0000     ZERO |          0.9766  UNIFORM
      (7, 10, 2) |          0.0000     ZERO |          0.9766  UNIFORM
      (7, 10, 4) |          0.0000     ZERO |          0.9766  UNIFORM
      (7, 10, 5) |          0.0000     ZERO |          0.9766  UNIFORM
      (7, 10, 6) |          0.0000     ZERO |          0.9766  UNIFORM
      (7, 10, 7) |          0.0000     ZERO |          0.9766  UNIFORM
      (7, 10, 9) |          0.0000     ZERO |          0.9766  UNIFORM
