activation,dtype,role,csv,coeff_csv,method,degree,segments,max_ulp,runtime_us,ttnn_maxulp,ttnn_us,dump_csv,plot_png,status
i1,fp32,ttnn,,,ttnn,,,5.0,9.89,5.0,9.89,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/i1/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/i1.png,ttnn_ref
identity,fp32,fastest_ttnn_ulp_match,identity_p16_s1_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/identity_p16_s1_uniform_any_ulp.csv,poly,16,1,0.0,1.83,0.0,1.9,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/identity/fastest_ttnn_ulp_match_identity_p16_s1_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/identity.png,ttnn_ulp_match
identity,fp32,ttnn,,,ttnn,,,0.0,1.9,0.0,1.9,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/identity/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/identity.png,ttnn_ref
leaky_relu,fp32,fastest_min_ulp,leaky_relu_p1_s2_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/leaky_relu_p1_s2_uniform_any_ulp.csv,poly,1,2,0.01,2.99,,,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/leaky_relu/fastest_min_ulp_leaky_relu_p1_s2_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/leaky_relu.png,fallback_min_ulp
lgamma,fp32,fastest_ttnn_ulp_match,lgamma_n5d3_s2_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/lgamma_n5d3_s2_uniform_rational_ulp.csv,rational,5d3,2,1126.0,5.45,1685.673828125,21.33,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/lgamma/fastest_ttnn_ulp_match_lgamma_n5d3_s2_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/lgamma.png,ttnn_ulp_match
lgamma,fp32,ttnn,,,ttnn,,,1685.673828125,21.33,1685.673828125,21.33,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/lgamma/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/lgamma.png,ttnn_ref
log,fp32,fastest_ttnn_ulp_match,log_n3d2_s2_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/log_n3d2_s2_uniform_rational_ulp.csv,log,3d2,2,1.0,5.63,1.0,3.76,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/log/fastest_ttnn_ulp_match_log_n3d2_s2_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/log.png,ttnn_ulp_match
log,fp32,ttnn,,,ttnn,,,1.0,3.76,1.0,3.76,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/log/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/log.png,ttnn_ref
log10,fp32,fastest_min_ulp,log10_p6_s32_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/log10_p6_s32_uniform_any_ulp.csv,exponent_alu_log2,6,32,21.5,3.29,1.0,3.89,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/log10/fastest_min_ulp_log10_p6_s32_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/log10.png,fallback_min_ulp
log10,fp32,ttnn,,,ttnn,,,1.0,3.89,1.0,3.89,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/log10/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/log10.png,ttnn_ref
log1p,fp32,fastest_min_ulp,log1p_p6_s16_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/log1p_p6_s16_uniform_any_ulp.csv,exponent_alu_log2,6,16,25.0,3.31,1.0,3.88,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/log1p/fastest_min_ulp_log1p_p6_s16_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/log1p.png,fallback_min_ulp
log1p,fp32,ttnn,,,ttnn,,,1.0,3.88,1.0,3.88,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/log1p/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/log1p.png,ttnn_ref
log2,fp32,fastest_min_ulp,log2_p6_s1_uniform_fpminimax_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/log2_p6_s1_uniform_fpminimax_ulp.csv,exponent_alu_log2,6,1,36.0,3.28,1.0,3.87,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/log2/fastest_min_ulp_log2_p6_s1_uniform_fpminimax_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/log2.png,fallback_min_ulp
log2,fp32,ttnn,,,ttnn,,,1.0,3.87,1.0,3.87,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/log2/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/log2.png,ttnn_ref
logit,fp32,fastest_min_ulp,logit_n6d6_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/logit_n6d6_s1_uniform_rational_ulp.csv,rational,6d6,1,1810.0,4.27,1.0,6.47,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/logit/fastest_min_ulp_logit_n6d6_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/logit.png,fallback_min_ulp
logit,fp32,ttnn,,,ttnn,,,1.0,6.47,1.0,6.47,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/logit/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/logit.png,ttnn_ref
logsigmoid,fp32,fastest_min_ulp,logsigmoid_n11d2_s2_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/logsigmoid_n11d2_s2_uniform_rational_ulp.csv,rational,11d2,2,3.0,6.93,,,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/logsigmoid/fastest_min_ulp_logsigmoid_n11d2_s2_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/logsigmoid.png,fallback_min_ulp
mish,fp32,fastest_min_ulp,mish_n12d11_s1_uniform_rational_max.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/mish_n12d11_s1_uniform_rational_max.csv,rational,12d11,1,5.0,6.06,2.0,5.94,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/mish/fastest_min_ulp_mish_n12d11_s1_uniform_rational_max.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/mish.png,fallback_min_ulp
mish,fp32,ttnn,,,ttnn,,,2.0,5.94,2.0,5.94,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/mish/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/mish.png,ttnn_ref
multigammaln,fp32,fastest_ttnn_ulp_match,multigammaln_p2_s1_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/multigammaln_p2_s1_uniform_any_ulp.csv,poly,2,1,6168718.0,2.83,8301360.0,3.21,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/multigammaln/fastest_ttnn_ulp_match_multigammaln_p2_s1_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/multigammaln.png,ttnn_ulp_match
multigammaln,fp32,ttnn,,,ttnn,,,8301360.0,3.21,8301360.0,3.21,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/multigammaln/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/multigammaln.png,ttnn_ref
polygamma,fp32,fastest_min_ulp,polygamma_p13_s32_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/polygamma_p13_s32_uniform_any_ulp.csv,poly,13,32,1084562.0,26.46,,,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/polygamma/fastest_min_ulp_polygamma_p13_s32_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/polygamma.png,fallback_min_ulp
prelu,fp32,fastest_min_ulp,prelu_p13_s2_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/prelu_p13_s2_uniform_any_ulp.csv,poly,13,2,0.0,2.94,,,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/prelu/fastest_min_ulp_prelu_p13_s2_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/prelu.png,fallback_min_ulp
relu,fp32,fastest_ttnn_ulp_match,relu_p2_s2_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/relu_p2_s2_uniform_any_ulp.csv,poly,2,2,0.0,2.88,0.0,3.02,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/relu/fastest_ttnn_ulp_match_relu_p2_s2_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/relu.png,ttnn_ulp_match
relu,fp32,ttnn,,,ttnn,,,0.0,3.02,0.0,3.02,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/relu/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/relu.png,ttnn_ref
relu6,fp32,fastest_ttnn_ulp_match,relu6_p1_s3_uniform_any_max.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/relu6_p1_s3_uniform_any_max.csv,poly,1,3,0.0,2.99,0.0,3.06,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/relu6/fastest_ttnn_ulp_match_relu6_p1_s3_uniform_any_max.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/relu6.png,ttnn_ulp_match
relu6,fp32,ttnn,,,ttnn,,,0.0,3.06,0.0,3.06,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/relu6/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/relu6.png,ttnn_ref
relu_max,fp32,fastest_min_ulp,relu_max_p1_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/relu_max_p1_s3_uniform_any_ulp.csv,poly,1,3,0.0,3.0,,,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/relu_max/fastest_min_ulp_relu_max_p1_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/relu_max.png,fallback_min_ulp
relu_min,fp32,fastest_min_ulp,relu_min_p1_s2_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/relu_min_p1_s2_uniform_any_ulp.csv,poly,1,2,0.0,2.93,,,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/relu_min/fastest_min_ulp_relu_min_p1_s2_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/relu_min.png,fallback_min_ulp
rsqrt,fp32,fastest_min_ulp,rsqrt_p1_s8_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/rsqrt_p1_s8_uniform_any_ulp.csv,newton_root,1,8,47.0,3.0,1.0,3.33,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/rsqrt/fastest_min_ulp_rsqrt_p1_s8_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/rsqrt.png,fallback_min_ulp
rsqrt,fp32,ttnn,,,ttnn,,,1.0,3.33,1.0,3.33,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/rsqrt/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/rsqrt.png,ttnn_ref
selu,fp32,fastest_min_ulp,selu_p9_s4_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/selu_p9_s4_uniform_any_ulp.csv,poly,9,4,14.62,4.26,11.0,4.4,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/selu/fastest_min_ulp_selu_p9_s4_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/selu.png,fallback_min_ulp
selu,fp32,ttnn,,,ttnn,,,11.0,4.4,11.0,4.4,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/selu/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/selu.png,ttnn_ref
sigmoid,fp32,fastest_min_ulp,sigmoid_n10d9_s1_uniform_rational_mae.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/sigmoid_n10d9_s1_uniform_rational_mae.csv,rational,10d9,1,6.0,5.39,2.0,4.58,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/sigmoid/fastest_min_ulp_sigmoid_n10d9_s1_uniform_rational_mae.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sigmoid.png,fallback_min_ulp
sigmoid,fp32,ttnn,,,ttnn,,,2.0,4.58,2.0,4.58,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/sigmoid/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sigmoid.png,ttnn_ref
sigmoid_accurate,fp32,fastest_min_ulp,sigmoid_accurate_n8d7_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/sigmoid_accurate_n8d7_s1_uniform_rational_ulp.csv,rational,8d7,1,8.0,4.74,2.0,4.58,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/sigmoid_accurate/fastest_min_ulp_sigmoid_accurate_n8d7_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sigmoid_accurate.png,fallback_min_ulp
sigmoid_accurate,fp32,ttnn,,,ttnn,,,2.0,4.58,2.0,4.58,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/sigmoid_accurate/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sigmoid_accurate.png,ttnn_ref
silu,fp32,fastest_min_ulp,silu_n10d6_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/silu_n10d6_s1_uniform_rational_ulp.csv,rational,10d6,1,4.0,4.89,2.0,4.62,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/silu/fastest_min_ulp_silu_n10d6_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/silu.png,fallback_min_ulp
silu,fp32,ttnn,,,ttnn,,,2.0,4.62,2.0,4.62,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/silu/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/silu.png,ttnn_ref
sin,fp32,fastest_ttnn_ulp_match,sin_n9d1_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/sin_n9d1_s1_uniform_rational_ulp.csv,trig,9d1,1,1.0,4.0,1.0,3.41,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/sin/fastest_ttnn_ulp_match_sin_n9d1_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sin.png,ttnn_ulp_match
sin,fp32,ttnn,,,ttnn,,,1.0,3.41,1.0,3.41,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/sin/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sin.png,ttnn_ref
sinh,fp32,fastest_min_ulp,sinh_n13d12_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/sinh_n13d12_s1_uniform_rational_ulp.csv,rational,13d12,1,5.0,4.25,1.0,4.48,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/sinh/fastest_min_ulp_sinh_n13d12_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sinh.png,fallback_min_ulp
sinh,fp32,ttnn,,,ttnn,,,1.0,4.48,1.0,4.48,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/sinh/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sinh.png,ttnn_ref
softplus,fp32,fastest_ttnn_ulp_match,softplus_n9d9_s1_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/softplus_n9d9_s1_uniform_rational_ulp.csv,rational,9d9,1,19.0,5.23,43.625,7.35,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/softplus/fastest_ttnn_ulp_match_softplus_n9d9_s1_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/softplus.png,ttnn_ulp_match
softplus,fp32,ttnn,,,ttnn,,,43.625,7.35,43.625,7.35,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/softplus/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/softplus.png,ttnn_ref
softshrink,fp32,fastest_ttnn_ulp_match,softshrink_p6_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/softshrink_p6_s3_uniform_any_ulp.csv,poly,6,3,0.0,3.05,0.0,3.25,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/softshrink/fastest_ttnn_ulp_match_softshrink_p6_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/softshrink.png,ttnn_ulp_match
softshrink,fp32,ttnn,,,ttnn,,,0.0,3.25,0.0,3.25,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/softshrink/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/softshrink.png,ttnn_ref
softsign,fp32,fastest_ttnn_ulp_match,softsign_n1d1_s2_uniform_rational_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/softsign_n1d1_s2_uniform_rational_ulp.csv,rational,1d1,2,2.0,3.14,3.0,3.19,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/softsign/fastest_ttnn_ulp_match_softsign_n1d1_s2_uniform_rational_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/softsign.png,ttnn_ulp_match
softsign,fp32,ttnn,,,ttnn,,,3.0,3.19,3.0,3.19,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/softsign/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/softsign.png,ttnn_ref
sqrt,fp32,fastest_ttnn_ulp_match,sqrt_p8_s3_uniform_any_ulp.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/sqrt_p8_s3_uniform_any_ulp.csv,newton_root,8,3,1.0,3.05,1.0,3.29,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/sqrt/fastest_ttnn_ulp_match_sqrt_p8_s3_uniform_any_ulp.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sqrt.png,ttnn_ulp_match
sqrt,fp32,ttnn,,,ttnn,,,1.0,3.29,1.0,3.29,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/ttnn/fp32/sqrt/ttnn.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/sqrt.png,ttnn_ref
swish,fp32,fastest_min_ulp,swish_n11d11_s1_uniform_rational_max.csv,/Users/nachiket/workspace/tt-polynomial-fitter/data/coefficients/swish_n11d11_s1_uniform_rational_max.csv,rational,11d11,1,3.0,5.88,2.0,4.61,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/data/dumps/frontier/fp32/swish/fastest_min_ulp_swish_n11d11_s1_uniform_rational_max.npz,/Users/nachiket/workspace/tt-metal/tt_metal/programming_examples/generic_lut_activation_embedded/results/frontier/fp32/plots/ulp_by_input/swish.png,fallback_min_ulp
