source_path,accounting_group,roles,evidence_lines,condition
ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/dataflow/reader_unary_interleaved_ln_rm_gb_post_allgather.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,101,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/dataflow/reader_unary_interleaved_ln_rm_gb_pre_allgather.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,34,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/layernorm_post_all_gather_program_factory.cpp,Original compute/host inventory,host factory,280,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/layernorm_post_all_gather_welford_program_factory.cpp,Original compute/host inventory,host factory,299,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/layernorm_pre_all_gather_program_factory.cpp,Original compute/host inventory,host factory,75,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/layernorm_pre_all_gather_welford_program_factory.cpp,Additional host/test builder files,host factory,48,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather.cpp,Original compute/host inventory,compute helper consumer,98,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather_metal2.cpp,Original compute/host inventory,compute helper consumer,101,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather.cpp,Original compute/host inventory,compute helper consumer,109,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather_2d.cpp,Original compute/host inventory,compute helper consumer,81,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax.cpp,Original compute/host inventory,compute helper consumer,30; 341,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp,Original compute/host inventory,compute helper consumer,260,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_sharded.cpp,Original compute/host inventory,compute helper consumer,31; 239,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/dataflow/reader_unary_interleaved_sm.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,69; 73,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/dataflow/reader_unary_interleaved_sm_large_tensor.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,62; 66,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/dataflow/reader_unary_sharded_sm.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,62; 66; 75; 77; 90; 92; 97; 99,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/dataflow/reader_unary_sharded_sm_causal_mask_hw_dims.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,48; 52,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/dataflow/reader_unary_sharded_sm_rm_mask.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,66; 70,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_attention_optimized.cpp,Original compute/host inventory,host factory,502,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_attention_optimized_sharded.cpp,Original compute/host inventory,host factory,373,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_general_h_large.cpp,Original compute/host inventory,host factory,228,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_general_h_small.cpp,Original compute/host inventory,host factory,233,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_general_w_large.cpp,Original compute/host inventory,host factory,235,Migration review candidate
ttnn/cpp/ttnn/operations/normalization/softmax/device/softmax_program_factory_general_w_small.cpp,Original compute/host inventory,host factory,240,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce.cpp,Original compute/host inventory,compute helper consumer,26,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce_rm.cpp,Original compute/host inventory,compute helper consumer,55; 78,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/dataflow/reader_unary_reduce_input_rows_partitioned_sharded.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,28,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/dataflow/reader_unary_reduce_rm.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,71,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/dataflow/reader_unary_reduce_universal_start_id.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,19,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_interleaved_input_cols_partitioned_sharded.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,26,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,51,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/reduce_op_multi_core_h_program_factory.cpp,Original compute/host inventory,host factory,585,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/reduce_op_multi_core_w_program_factory.cpp,Original compute/host inventory,host factory,463,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/reduce_op_single_core_hw_program_factory.cpp,Original compute/host inventory,host factory,269,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/generic/device/welford_reduce_program_factory.cpp,Additional host/test builder files,host factory,315,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/compute/moe.cpp,Original compute/host inventory,compute helper consumer,224,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/dataflow/writer_unary_interleaved.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,22,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/moe/device/moe_program_factory.cpp,Original compute/host inventory,host factory,340,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/compute/sampling.cpp,Original compute/host inventory,compute helper consumer,192,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/dataflow/writer_interleaved.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,56; 58,Migration review candidate
ttnn/cpp/ttnn/operations/reduction/sampling/device/sampling_program_factory.cpp,Original compute/host inventory,host factory,32,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/exp_ring_joint_sdpa_program_factory.cpp,Additional host/test builder files,host factory,1519,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/joint_sdpa_program_factory.cpp,Additional host/test builder files,host factory,572,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/exp_ring_joint_writer.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,294,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/joint_writer.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,63,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/ring_joint_writer.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,562,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/sparse_sdpa_msa_writer.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,79,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/sparse_sdpa_writer.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,77,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/writer_interleaved.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,109,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/ring_distributed_sdpa_program_factory.cpp,Additional host/test builder files,host factory,499,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/ring_joint_sdpa_program_factory.cpp,Additional host/test builder files,host factory,2637,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/sdpa_program_factory.cpp,Additional host/test builder files,host factory,1429,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/sparse_sdpa_msa_program_factory.cpp,Additional host/test builder files,host factory,244,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa/device/sparse_sdpa_program_factory.cpp,Additional host/test builder files,host factory,273,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa_decode/device/kernels/dataflow/writer_decode_all.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,209,Migration review candidate
ttnn/cpp/ttnn/operations/transformer/sdpa_decode/device/sdpa_decode_program_factory.cpp,Additional host/test builder files,host factory,804,Migration review candidate
ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py,Original compute/host inventory,compute helper consumer; host factory; old dataflow helper consumer,271; 279; 304; 367,Migration review candidate
ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py,Original compute/host inventory,compute helper consumer; host factory; old dataflow helper consumer,184; 187; 190; 218; 221; 224; 310,Migration review candidate
ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py,Original compute/host inventory,compute helper consumer; host factory; old dataflow helper consumer,161; 202; 260; 303; 385,Migration review candidate
ttnn/ttnn/operations/toy_variance/kernels/compute.cpp,Original compute/host inventory,compute helper consumer,62; 96; 114,Migration review candidate
ttnn/ttnn/operations/toy_variance/kernels/reader.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,51; 57,Migration review candidate
ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp,Original compute/host inventory,compute helper consumer,113; 136,Migration review candidate
ttnn/ttnn/operations/toy_variance/kernels/sharded_reader.cpp,Additional direct dataflow consumer files,old dataflow helper consumer,49,Migration review candidate
ttnn/ttnn/operations/toy_variance/toy_variance_program_artifacts.py,Original compute/host inventory,host factory,186,Migration review candidate
ttnn/ttnn/operations/toy_variance/toy_variance_sharded_program_artifacts.py,Original compute/host inventory,host factory,212,Migration review candidate
