source_id,source_path,kernel_label,pattern_id,pattern,static_helper_call_sites,call_ids,factory_ids,uses_accumulate_api,loop_carried_helper_result,runtime_calls_and_unit,state_and_branches,evidence_source_lines
S078,ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/moreh_sum_h.cpp,Moreh sum H,pair-api,Fixed prefix and tail using Accumulate,3,R249; R250; R251,F078,True,False,"1 call when Ht=1, otherwise 2 calls per NC/width column.","For Ht>1, a single bulk call reduces the first Ht−1 tiles into dfb::accum_dst. One masked/unmasked tail call writes the output using Accumulate::at(dfb::accum_dst, Ht==1 ? 0 : 1). The three sites are prefix plus two alternative tails; the outer column loop starts a fresh result.",ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/moreh_sum_h.cpp:39; ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/moreh_sum_h.cpp:45; ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/moreh_sum_h.cpp:75
S079,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp,Group norm,stages,Multiple statistics or reduction stages,4,R252; R253; R254; R255,F079; F080,False,False,"2 × B calls per batch/group on receivers; 2 × B + 2 on the multicast sender, B = num_out_blocks_padded.",Mean and centered variance each produce B independently reduced block partials. A later fresh bulk helper on the sender reduces gathered partials. The block loop does not reload a running helper accumulator: this is a staged reduction of partial results.,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp:291; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp:306; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp:386; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp:550
S080,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp,Group norm — sharded v2,stages,Multiple statistics or reduction stages,4,R256; R257; R258; R259,F081,False,False,2 calls per batch/group; 4 on the multicast sender when num_cores_per_mcast_group>1.,Mean and centered variance each use one local reduction after manual tile accumulation. A sender may additionally reduce a packed tile of gathered partials for each statistic. All helper invocations start fresh.,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp:232; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp:336; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp:363; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp:502
S083,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp,Layer/RMS norm — sharded,stages,Multiple statistics or reduction stages,2,R266; R270,F083; F084,False,False,LayerNorm: 2 calls per shard block. RMSNorm: 1 (no mean stage).,Local mean and variance/mean-square are separate bulk reductions over block_h rows. Each call has an explicit row stride. Global combinations elsewhere in this source use raw reduction APIs and are outside the retained helper count.,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp:238; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp:268; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp:412
S085,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp,Layer/RMS norm — sharded pre-all-gather,stages,Multiple statistics or reduction stages,3,R277; R278; R279,F083; F084,False,False,LayerNorm: 2 calls per shard block. RMSNorm: 1 (mean-square only).,"The two mean sites are masked/unmasked alternatives. A separate x² reduction follows. Global combination uses raw APIs. Three sites therefore mean one or two helper invocations, without running helper state.",ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp:143; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp:176; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp:190; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp:257
S087,ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather.cpp,Distributed LayerNorm — pre-all-gather,stages,Multiple statistics or reduction stages,2,R287; R288,F087,False,False,2 calls per tile row; 2 × NCHt per kernel.,One bulk reduction for x² and another for x. They write successive statistics to the same output FIFO; sharing an output buffer does not combine the results.,ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather.cpp:60; ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather.cpp:112; ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather.cpp:127
S088,ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather_2d.cpp,Distributed LayerNorm/RMSNorm — 2D pre-all-gather,single,One helper call per independent reduction,1,R289,F087,False,False,1 call per local tile row; NCHt calls per kernel.,"Each mean/sum-of-squares helper covers the full local Wt row. A later manual cross-core combine processes partial statistics, but the helper calls themselves do not carry a running result.",ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather_2d.cpp:63; ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather_2d.cpp:115; ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather_2d.cpp:158
S089,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather.cpp,"Distributed RMSNorm — post-all-gather, composition-test reference only",single,One helper call per independent reduction,1,R290,F024,False,False,1 call per tile row; NCHt calls if the kernel body executes.,One bulk AVG reduces all stats_tiles_cols gathered tiles for the row. There is no accumulation between rows. Refer to the factory audit for whether this source is actually executed.,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather.cpp:88; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather.cpp:98
S090,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather_metal2.cpp,Distributed RMSNorm — post-all-gather metal2,single,One helper call per independent reduction,1,R291,F085; F086,False,False,1 call per tile row; NCHt calls if the kernel body executes.,One bulk AVG reduces all stats_tiles_cols gathered tiles for the row. There is no accumulation between rows. Refer to the factory audit for whether this source is actually executed.,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather_metal2.cpp:91; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather_metal2.cpp:101
S091,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather.cpp,Distributed RMSNorm — pre-all-gather,single,One helper call per independent reduction,1,R292,F087,False,False,1 call per tile row; NCHt calls per kernel.,The input-squaring loop prepares Wt tiles; one bulk SUM then reduces the entire local row.,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather.cpp:59; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather.cpp:109
S092,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather_2d.cpp,"Distributed RMSNorm — legacy 2D pre-all-gather, no host reference",single,One helper call per independent reduction,1,R293,,False,False,1 call per local tile row; NCHt calls per kernel.,"Each mean/sum-of-squares helper covers the full local Wt row. A later manual cross-core combine processes partial statistics, but the helper calls themselves do not carry a running result.",ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather_2d.cpp:54; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather_2d.cpp:81; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather_2d.cpp:120
S093,ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax.cpp,Attention softmax,stages,Multiple statistics or reduction stages,2,R294; R295,F088,False,False,"1 SUM call per tile row, plus 1 MAX call when NUMERIC_STABLE is enabled.",MAX and sum(exp(x)) are different statistics. Each covers the full local row in one helper invocation. Mask/fusion branches select how MAX is reached; the SUM reciprocal callback only transforms the current result.,ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax.cpp:170; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax.cpp:30; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax.cpp:341
S094,ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp,Attention softmax — large tensor,loop-callback,Loop accumulation inside a callback,1,R296,F088,False,True,"P calls for SUM, plus P for MAX when NUMERIC_STABLE; P = num_dfb_passes, per row (NCHt rows).","One templated site is reused for both statistics and ping-pong buffers. The post-reduce callback waits on the previous output, loads it into DST[1], combines by MAX or ADD, then pops it. use_prev_reduce=false starts each row/statistic; later passes set it true. NoAccumulation does not make these calls independent.",ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp:258; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp:291; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp:392; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp:439
S095,ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_sharded.cpp,Attention softmax — sharded,stages,Multiple statistics or reduction stages,2,R297; R298,F089,False,False,"1 SUM call per tile row, plus 1 MAX call when NUMERIC_STABLE is enabled.",MAX and sum(exp(x)) are different statistics. Each covers the full local row in one helper invocation. Mask/fusion branches select how MAX is reached; the SUM reciprocal callback only transforms the current result.,ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_sharded.cpp:114; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_sharded.cpp:31; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_sharded.cpp:239
S099,ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce.cpp,Generic tiled reduction,single,One helper call per independent reduction,1,R307,F098; F099; F100,False,False,1 bulk helper call per kernel invocation for its assigned Ht × Wt × NC block.,All tile traversal is inside the helper. There is no outer helper-accumulation loop; an optional post-multiply transforms only this call’s result.,ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce.cpp:26
S102,ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce_rm.cpp,Generic row-major reduction,loop-api,Loop accumulation using Accumulate,2,R314; R315,F098; F099,True,True,W: ceil(Wt / wt_tiles_per_chunk) calls per H chunk. H: ceil(Ht / ht_tiles_per_chunk) calls per local output tile.,"Accumulate::at(dfb::acc, chunk_idx). One of the two sites runs per chunk: intermediate results go to the accumulator; the last goes to the output, with optional post-multiply. chunk_idx resets to zero for each H chunk (W reduction) or output tile (H reduction). A one-chunk case makes one call.",ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce_rm.cpp:55; ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce_rm.cpp:115; ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce_rm.cpp:147
S104,ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/compute/moe.cpp,Mixture-of-experts reduction,stages,Multiple statistics or reduction stages,1,R319,F101,False,False,"3 calls per kernel, each covering Ht rows of Kt tiles.","One templated reduce_c site is called for softmax MAX, softmax SUM, and the final sum after selecting expert 0. These are fresh reductions over different intermediate values.",ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/compute/moe.cpp:216; ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/compute/moe.cpp:477; ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/compute/moe.cpp:487
S105,ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/compute/sampling.cpp,Sampling reduction,stages,Multiple statistics or reduction stages,1,R320,F102,False,False,"2 calls per kernel, each covering Ht rows of Kt tiles.",One templated reduce_c site is called for MAX and then SUM during softmax. It does not accumulate a previous helper output.,ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/compute/sampling.cpp:189; ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/compute/sampling.cpp:466; ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/compute/sampling.cpp:469
S108,ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py,Compute-fusion example — reduce/reciprocal,single,One helper call per independent reduction,2,R330; R331,F111,False,False,1 call per benchmark iteration; kernel_iters calls for the reduce/reciprocal scenario.,"Fused and unfused method sites are alternatives. Each iteration recomputes the row result; the previous output is drained, not reloaded for accumulation. Other scenarios contain no retained reduce helper.",ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py:268; ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py:271; ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py:279; ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py:288
S109,ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py,Reduce-accumulate example — helper variant,single,One helper call per independent reduction,3,R337; R338; R339,F112,False,False,1 call per benchmark iteration; kernel_iters calls.,"ROW, COL and SCALAR sites are compile-time alternatives. Despite the example name, no Accumulate argument is passed. Every iteration performs a fresh bulk reduction and drains the preceding output.",ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py:180; ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py:184; ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py:193
S111,ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py,Row-reduce-accumulate example — helper methods,single,One helper call per independent reduction,3,R341; R342; R345,F114,False,False,1 call per benchmark iteration for reduce_fold or an FPU-finalize method; kernel_iters calls. SFPU-finalize methods: 0 retained helpers.,Three sites are method alternatives. reduce_fold handles the full row in one call; L1/DEST methods manually accumulate the row before a single final helper call. Benchmark iterations restart accumulation and drain prior output.,ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:155; ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:191; ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:202; ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:260; ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:266
S113,ttnn/ttnn/operations/toy_variance/kernels/compute.cpp,Toy variance — interleaved,loop-api,Loop accumulation using Accumulate,3,R347; R348; R349,F116,True,True,"2 × NUM_BLOCKS calls: NUM_BLOCKS for mean, then NUM_BLOCKS for variance.","Two independent accumulator chains use Accumulate::at(dfb::mean, b) and Accumulate::at(dfb::variance, b), each restarting at b=0. The two variance sites are alternatives; sqrt runs only on the last block when standard deviation is requested. Partial-output mode also applies only to the last block.",ttnn/ttnn/operations/toy_variance/kernels/compute.cpp:60; ttnn/ttnn/operations/toy_variance/kernels/compute.cpp:78; ttnn/ttnn/operations/toy_variance/kernels/compute.cpp:96; ttnn/ttnn/operations/toy_variance/kernels/compute.cpp:114
S114,ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp,Toy variance — sharded,stages,Multiple statistics or reduction stages,2,R350; R351,F117,False,False,"2 calls per core/shard: local mean contribution, then local variance contribution.",Each helper reduces the full resident shard for its statistic. The root combines gathered mean/variance contributions separately with combine_blocks; these manual global combines do not add helper invocations or use Accumulate.,ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp:113; ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp:121; ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp:136; ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp:139
